name,address,region
Toko Kiambang,Jl.  Pedamaran Pasar Johar 1-2,semarang
TK Nibra,Jl.  Blanti Raya,padang
Corlinda Salon,Jl.  Andi Mappanyukki 47,makassar
SD Negeri Griya Bumi Antapani 13,"Jl.  Kadipaten XIV 2, Antapani Kaler, Cicadas",bandung
Lembaga Pendidikan & Pengembangan Profesi Manajemen,Jl.  Syailendra 21,medan
Rumah Sakit Umum Daerah Wates,Jl.  Tentara Pelajar Km 1 5 Wates,yogyakarta
Restoran Merlin,Jl.  Andalas 33,makassar
Restoran Mandarin,Jl.  Kb Kawung Kios 45-46-47,bandung
Madrasah Diniyah Muhammadiyah,Jl.  Tentara Pelajar 87,semarang
Mitra Jaya CV,Jl.  Jendral Sudirman 99 Kayuringin Jaya,bekasi
Kindys Donuts Fried Chicken,Jl.  Gubeng Masjid 1,surabaya
SD Negeri 02 Petang  Pegangsaan Dua,Jl.  Ampiun 1-A,jakarta
Desa Wisata Ketingan,Dsn Ketingan,yogyakarta
SMK St Fransiskus,Jl.  Wolter Monginsidi 22,semarang
Lembaga Pendidikan MIE,Jl.  Tebet Raya 30 E/F,jakarta
Al Barokah Hotel,Jl.  Balerejo 27 Muja Muju Umbul Harjo,yogyakarta
PT Bika Parama Cipta,Jl.  Moh Toha Km 28/4,jakarta
Mediacom CV,Jl.  Gejayan 35-B Caturnunggal Depok,yogyakarta
Pandan Salon,Jl Pandan 1-A,surabaya
333 Motor,Jl.  Cijerah 257,bandung
Toko Lima Ribu,Jl Brigjen Katamso 702,medan
Toko Haji Nur,Jl.  Songoyudan 84 Nyamplungan Pabean Cantikan,surabaya
Bank Mandiri Jl Raya Legian,Jl.  Raya Legian 494-E,denpasar
Resoles Windys,Jl.  Cibeunying Kolot 33,bandung
Yulia Salon,Jl SMEA 19,surabaya
Ratna Dee Salon,Jl Panjang Ruko Green Garden Bl Y-3/17,jakarta
SMP Al Ishlah,Jl.  Bukit Kencanajaya 2,semarang
BENGKEL ABENK,Jl. Mayjend Sutoyo No.9 Gn.Malang,balikpapan
ATM Mandiri Syariah KK Petisah,Jl.  Rotan 7,medan
TK Al Ichsan,Jl.  Dukuh Bulak Banteng 32,surabaya
Yuda Insurance Agency,Jl.  Petemon Barat 193-B,surabaya
Madrasah Aliyah Sultan Hasanuddin,"Jl.  Warung Buncit Raya 1, Kalibata, Pancoran",jakarta
Restoran ProSteak,Perum Istana Dieng III,malang
Pilar Nada Media PT Radio,Jl.  Pilang Raya 372/43,cirebon
Bank Danamon Jl Letjen MT Haryono,Jl.  Letjen MT Haryono Blok C/2,semarang
Bank CIMB Niaga Jl Kedoya Agave,Jl.  Kedoya Agave Blok A-2/12,jakarta
Pandan Wangi Salon,Jl Lamongan Raya 28,semarang
Rekayasa CV,Jl.  Prambanan 2 Pacarkeling Tambaksari,surabaya
CV Christopher Jaya Makmur,Jl.  Tebet Timur Dalam Raya 155-A,jakarta
Makassar Handicraft Center,Jl.  Somba Opu 10-12,makassar
SMK Syuhada Tehnologi,Jl.  H Hasan Basri 23,banjarmasin
ATM BCA Carrefour Panakukang,Jl.  Pengayoman Panakukang Mas,makassar
Ayana Sachi Boutique,Jl.  Sangkuriang 37,bandung
Jamsostek Jl Pemuda 130,Jl.  Pemuda 130 Gedung Jamsostek Lantai 2,semarang
Rias Jelita,Jl Cempaka Putih Raya 26,surabaya
Hotel Pangarang Sari,Jl.  Pangarang 3,bandung
Bank Mega Jl KH Fakhruddin,Jl.  KH Fakhruddin 36 Blok C/49 Lantai 49,jakarta
Toko Bintang Terang,Jl Sisingamangaraja Bl K Jalur I/8,medan
Slimline Salon,Jl Yose Rizal Bl II-F,medan
Arminis Boutique,Jl Mangga Dua Raya ITC Mangga Dua Bl C/9 Lt 2,jakarta
Mammas Boutique,Jl.  Letjen Sutoyo 7 A,malang
PT Cairnhill Serviech Inti,Jl MH Thamrin Ruko Thamrin Bl E-1,bekasi
Bintang Jaya,Jl.  Gajah Mada 20 Astina Buleleng,singaraja
Pacific Palace Hotel,Jl.  Duyung Hotel Ocean Palace,batam
SMK K,Jl.  Anggrek 19,medan
Studio 121 Salon,Jl Dharmawangsa 80 A,bandung
ATM Mandiri Dr Sutomo 1,Jl.  Dr Sutomo 1,medan
Bakmi Aseng,Jl.  Mangga Besar Raya 4,jakarta
Tk Islam Terpadu Gema Nurani,Kompleks Pejuang Jaya Blok B-218/249,bekasi
ATM Danamon Otista 1,Jl.  Otto Iskandardinata 22,bandung
Meta Depot Vegetarian,Jl.  Raya Kupang Jaya 136-D,surabaya
Bank Tabungan Pensiunan Nasional (BTPN) Jl Sutomo,Jl.  Sutomo 556,medan
Apotik Damar,Jl.  Damar 59-A,padang
Indonesian European University,Jl.  Raya Dukuh Kupang 157-B,surabaya
Toko Famili,Jl.  Tenggumung Wetan VI 55,semarang
Global Bisnis Solusindo CV,Jl.  Tuwowo Rejo V 37 Gading Tambaksari,surabaya
Diana Hotel,Jl.  Pidada VIII 6 Ubung Kaja,denpasar
Bank Syariah Mandiri Jl Dr Sam Ratulangi,Jl.  Dr Sam Ratulangi 88-B-C-D,makassar
ATM Mandiri Gatot Subroto 1,Jl.  Jendral Gatot Subroto 139,medan
Pendidikan Informatika & Komputer Terapan,Kampus ITS Gebang Putih Sukolilo,surabaya
Bank Mandiri Kompl Taman Setiabudi,Kompleks Taman Setiabudi Indah,medan
Alila Hotel,Desa Melinggih Kelod Br Melinggih  Ubud,gianyar
Bank Negara Indonesia (BNI) Syariah Jl Jaksa Agung Suprapto,Jl.  Jaksa Agung Suprapto 48,malang
PT Banyumas PBF,Jl.  Kepundung 70 Dangin Puri Kaja,denpasar
ATM Panin Menara Imperium,Metropolitan Kuningan Super Blok Kav 1,jakarta
Raudi Jaya Kios,Jl Terong Pasar Terong 90,makassar
Griyo Lady Salon,Jl.  Krembangan I 10,sidoarjo
